iter	Passed	Remaining
945	27112	1547
946	27140	1518
947	27167	1490
948	27195	1461
949	27222	1432
950	27256	1404
951	27283	1375
952	27311	1346
953	27341	1318
954	27368	1289
955	27395	1260
956	27432	1232
957	27459	1203
958	27487	1175
959	27515	1146
960	27541	1117
961	27568	1088
962	27597	1060
963	27627	1031
964	27657	1003
965	27685	974
966	27714	945
967	27743	917
968	27772	888
969	27800	859
970	27828	831
971	27856	802
972	27885	773
973	27912	745
974	27941	716
975	27968	687
976	28000	659
977	28028	630
978	28056	601
979	28084	573
980	28126	544
981	28184	516
982	28212	487
983	28240	459
984	28268	430
985	28296	401
986	28324	373
987	28354	344
988	28382	315
989	28411	286
990	28438	258
991	28466	229
992	28494	200
993	28521	172
994	28548	143
995	28575	114
996	28604	86
997	28631	57
998	28659	28
999	28687	0
